genes,log2FC,AveExpr,EffSize,t,P.Value,adj.P.Val
PAICS,-0.4163653685725448,5.007159490137036,0.4904816823776659,-0.7085104073710714,0.5045551201101612,0.6632458433706151
KPNA2,-1.0129263470841332,6.829383158999376,0.5060078481765191,-0.6904830228820844,0.5150619138148055,0.6706953891726798
SLC25A6,-0.2857365105501435,6.642509680878433,0.5764882662539663,-0.6847184992404336,0.5184516505261205,0.6706953891726798
ALDH18A1,-0.19158891260261335,11.708844309346041,0.340089406271805,-0.6577477900745524,0.5345030205858163,0.6860156878384887
ACTG1,-0.31047937126460035,8.532187568011741,0.4279724077934332,-0.6057408042461782,0.5663312439203663,0.715596843093176
LMNB1,-0.7104730449078653,6.36564969066479,0.4349389520286848,-0.6064391350142406,0.5658963518510349,0.715596843093176
DKC1,-0.28447330789954517,5.7240685707699335,0.41513187372351334,-0.594865063564952,0.5731301944795038,0.718617090001224
EWSR1,0.1818373870293648,9.501301566670486,0.41415027766593004,0.5825883450400945,0.580863241898226,0.7227534994611514
FASN,-0.8420505337573774,6.192337557092074,0.4076395932996877,-0.5738654652245841,0.5863949557611008,0.7241089226443896
RPS3,-0.5368869320195842,8.668363605555603,0.3872710074986748,-0.536138170544219,0.6106696746951568,0.7484147141000794
VDAC3,-0.3223125283975321,7.584277323850719,0.3548135277048968,-0.4914248718517326,0.6401513963931033,0.7672402765593811
NIFK,-0.3453420660059905,9.254069228635679,0.332805472748878,-0.5046092306546103,0.6313801073167196,0.7672402765593811
HNRNPA2B1,-0.15656859099981268,12.545704404830595,0.24861996111020415,-0.4980881362737738,0.6357104169533092,0.7672402765593811
PABPC1,0.1780927129352161,9.921452468743103,0.2853685733417209,0.47149796047067477,0.653529079299224,0.7775564958085658
HIST1H1E,-0.18423462908876687,10.838211438833568,0.25783451323943357,-0.45913132086405484,0.6619028109576828,0.7818127404790021
HNRNPA0,0.23448721817643303,16.139631806980173,0.2680842459164722,0.4301255610540166,0.6817517862971716,0.7979307237228239
YBX3,-0.13373042380074907,10.163538397492662,0.2528143214768881,-0.4189649604857612,0.6894648454945955,0.7979307237228239
EIF3E,-0.40632601296329884,7.235723958765438,0.3056834623195709,-0.41785446815322574,0.6902345524228108,0.7979307237228239
EEF1G,-0.3480374618373929,9.09256714781042,0.2744822287408082,-0.40723041941079147,0.6976186125202662,0.8007875622591789
RPS12,0.1330246027773061,9.713854947073084,0.2537708002638615,0.3929527336934694,0.7075990304951849,0.8065639298651408
RPL8,1.0045101149569389,8.14081124521659,0.25551770406091573,0.3599812337987156,0.73088718368486,0.8273236870877235
MATR3,-0.16522782660650392,12.98612018196306,0.16666478857089762,-0.33769360966643747,0.7468100712615271,0.8395175283836477
HNRNPA3,0.15392724334505203,11.424437551803516,0.17077538040116008,0.3282515943072718,0.7535975633397056,0.8413452248244658
CHTOP,-0.42220356991875096,6.737338540904803,0.2070684766315131,-0.2832510602048288,0.7862672277993908,0.8718473342265354
H2AFX,0.09882012230881188,9.943271484994224,0.161625638570102,0.254636356072067,0.8072956003619323,0.8891161003986146
SLC25A5,-0.15208512917722494,8.695405333068294,0.16908380428265943,-0.2418079653564795,0.8167814569024922,0.8902939434289705
RBM39,-0.09793385241266606,9.64427743905122,0.1558755400071739,-0.2384247073687681,0.8192889049959852,0.8902939434289705
PCID2,0.19555193289803618,5.133885917134674,0.12983318314333422,0.18738700015646592,0.8573799723257922,0.9255161290669147
PRKDC,-0.4425644841982601,4.50590247334228,0.09711365143588671,-0.1408798334085534,0.8924611129074873,0.9553148268512103
PRPF4B,0.07839158938092261,5.443595505805696,0.09035552874155606,0.12987080910108503,0.9008077170210386,0.9553148268512103
P00761,-0.10120618525572844,15.804935042587017,0.07268098922980828,-0.12755221994167196,0.9025673824238428,0.9553148268512103
RPS27,0.05038358000066623,12.596089220167434,0.05149818110028981,0.10444807427843195,0.9201332089634471,0.9676239552325281
SLU7,-0.029081085075547186,5.020887510782492,0.06165967071524528,-0.08420124101406902,0.9355675077930903,0.9713216800654376
RBMX,-0.11178913257191958,8.329736034918678,0.06340375525923567,-0.08520825658602234,0.9347990701866806,0.9713216800654376
HNRNPC,0.011796737427198778,14.53341344098709,0.021083926702342895,0.04020495145870314,0.9692017532624209,0.989680310823811
DDX17,-0.01878258545130329,11.464771041399072,0.025942612498764523,-0.049869376901728116,0.9618049407146672,0.989680310823811
TOMM22,-0.010089985864230044,10.208973107350742,0.019914973626904905,-0.0329239523917109,0.9747766247572213,0.989680310823811
SNRPE,0.008432581608571965,12.28983691024955,0.014507681247205816,0.029319581249233544,0.9775369941265863,0.989680310823811
HNRNPK,-0.004259408897967276,13.488444022599122,0.006515932994216639,-0.01299519880409361,0.9900424809298389,0.9958810119187992
RPS25,0.005367207219558523,9.824229656055664,0.0033055760896364213,0.005375396930425379,0.9958810119187992,0.9958810119187992
