Protein IDs,142_1,142_2,142_3,17_1,17_2,17_3,No Bait_1,No Bait_2,No Bait_3
sp|O60783|RT14_HUMAN,1.42E+06,1.17E+06,0,1.72E+06,0,0,0,1.07E+06,8.76E+05
sp|O60812|HNRC1_HUMAN,0,0,0,0,0,0,0,0,0
sp|Q99879|H2B1M_HUMAN,0,0,0,0,0,0,0,0,0
sp|O60832|DKC1_HUMAN,1.90E+05,1.03E+05,5.01E+04,4.13E+05,2.91E+05,1.75E+05,3.32E+04,1.53E+05,7.80E+04
sp|O60841|IF2P_HUMAN,0,1.51E+04,0,0,0,0,0,1.44E+05,0
sp|O75127|PTCD1_HUMAN,0,0,0,0,0,0,0,0,2.62E+04
sp|O75131|CPNE3_HUMAN,3.38E+07,2.61E+07,8.66E+06,2.61E+07,1.39E+07,2.04E+07,7.00E+06,9.60E+06,1.37E+07
sp|O75152|ZC11A_HUMAN,1.70E+05,1.21E+05,0,4.75E+05,0,3.10E+05,3.99E+03,2.76E+05,1.66E+05
sp|O75153|CLU_HUMAN,8.81E+04,1.17E+04,0,1.75E+04,0,0,0,8.03E+04,0
sp|O75190|DNJB6_HUMAN,8.57E+04,0,0,8.98E+04,0,0,0,3.70E+04,0
sp|O75223|GGCT_HUMAN,0,6.15E+04,0,1.97E+05,0,0,0,2.28E+05,0
sp|O75342|LX12B_HUMAN,0,0,0,0,0,0,0,0,1.92E+04
sp|O75367|H2AY_HUMAN,9.64E+05,1.80E+06,0,2.48E+06,0,0,0,5.73E+05,5.41E+05
sp|O75369|FLNB_HUMAN,3.15E+05,1.88E+05,0,2.85E+05,1.13E+03,7.90E+04,0,4.70E+05,1.36E+05
sp|O75396|SC22B_HUMAN,0,0,0,0,0,0,0,0,0
sp|O75400|PR40A_HUMAN,3.23E+05,5.64E+05,0,8.20E+05,1.21E+05,3.14E+04,5.73E+04,4.54E+05,3.60E+05
sp|O75431|MTX2_HUMAN,1.09E+05,1.09E+05,0,1.04E+05,0,0,0,0,0
sp|O75489|NDUS3_HUMAN,1.65E+05,1.06E+05,0,0,0,0,0,5.68E+04,4.46E+04
sp|O75494|SRS10_HUMAN,1.47E+06,2.37E+06,0,1.41E+06,2.21E+04,0,0,2.02E+05,2.90E+05
sp|O75533|SF3B1_HUMAN,3.12E+06,3.33E+06,5.06E+05,3.22E+06,1.98E+05,6.13E+05,2.11E+05,3.98E+06,3.73E+06
sp|O75534|CSDE1_HUMAN,4.12E+05,3.10E+05,0,1.15E+06,0,0,0,2.48E+06,1.11E+06
sp|O75569|PRKRA_HUMAN,1.33E+06,1.82E+06,0,9.36E+05,0,2.01E+05,0,0,0
sp|O75607|NPM3_HUMAN,1.70E+06,2.01E+06,5.54E+05,1.43E+06,8.65E+05,1.63E+06,1.79E+05,9.83E+05,7.32E+05
sp|O75643|U520_HUMAN,3.32E+06,2.02E+06,3.71E+05,3.17E+06,9.04E+05,5.56E+05,5.08E+05,4.30E+06,3.08E+06
sp|O75688|PPM1B_HUMAN,0,0,0,0,0,0,2.06E+06,0,0
sp|O75781|PALM_HUMAN,0,3.61E+04,0,0,3.59E+04,0,0,0,0
sp|O75817|POP7_HUMAN,1.70E+05,2.14E+05,0,0,0,0,0,0,0
sp|O75821|EIF3G_HUMAN,3.60E+04,0,0,8.55E+04,0,5.65E+04,0,0,0
sp|O75822|EIF3J_HUMAN,0,0,0,0,0,0,0,0,0
sp|O75909|CCNK_HUMAN,1.09E+05,1.94E+04,0,1.40E+05,0,0,0,0,0
sp|O75934|SPF27_HUMAN,2.90E+06,2.81E+06,3.77E+05,4.01E+06,2.35E+06,1.17E+06,1.78E+06,2.30E+06,2.70E+06
sp|O75940|SPF30_HUMAN,5.68E+04,0,0,7.13E+04,0,0,0,8.70E+04,0
sp|O75955|FLOT1_HUMAN,0,0,0,0,0,0,0,2.45E+04,0
sp|O75964|ATP5L_HUMAN,1.30E+05,2.23E+05,0,0,0,0,0,0,0
sp|O76021|RL1D1_HUMAN,2.50E+05,4.68E+05,0,3.70E+05,0,2.58E+04,0,0,2.36E+04
sp|O76031|CLPX_HUMAN,0,1.42E+04,0,0,0,0,0,1.78E+04,0
sp|O76094|SRP72_HUMAN,0,3.66E+04,0,4.35E+04,0,4.57E+04,0,0,0
sp|O94776|MTA2_HUMAN,3.16E+05,4.36E+05,0,2.43E+05,0,0,0,2.67E+05,1.75E+05
sp|O94905|ERLN2_HUMAN,2.42E+05,1.25E+05,0,1.76E+05,0,0,0,2.09E+05,1.47E+05
sp|O94906|PRP6_HUMAN,7.18E+05,6.04E+05,0,8.33E+05,3.21E+03,2.97E+05,0,1.66E+06,8.82E+05
sp|O94913|PCF11_HUMAN,0,1.11E+04,0,7.69E+03,1.48E+03,0,0,0,0
sp|O95104|SFR15_HUMAN,1.97E+04,5.95E+04,0,0,0,0,0,0,0
sp|O95232|LC7L3_HUMAN,1.88E+05,2.10E+05,0,2.30E+05,0,0,0,3.01E+05,7.03E+04
sp|O95319|CELF2_HUMAN,0,6.40E+04,0,0,0,0,0,0,0
sp|O95391|SLU7_HUMAN,1.09E+05,1.24E+05,1.92E+04,1.48E+05,1.36E+04,0,1.69E+04,8.02E+04,5.93E+04
sp|O95400|CD2B2_HUMAN,7.28E+04,0,0,0,0,0,0,6.00E+04,0
sp|O95639|CPSF4_HUMAN,3.29E+05,3.71E+05,0,2.99E+05,0,0,0,2.71E+05,1.85E+05
